word,capital,speech,pronounce,define
abandon,A,verb,/əˈbændən/,放棄，拋棄
benevolent,B,adjective,/bəˈnevələnt/,仁慈的，善意的
coherent,C,adjective,/koʊˈhɪrənt/,連貫的，有條理的
detrimental,D,adjective,/ˌdɛtrɪˈmɛntl/,有害的
elaborate,E,adjective,/ɪˈlæbəˌreɪt/,精心製作的，詳細的
fluctuate,F,verb,/ˈflʌktʃuˌeɪt/,波動，變動
grasp,G,verb,/ɡræsp/,理解，抓住
hinder,H,verb,/ˈhɪndər/,阻礙，妨礙
inevitable,I,adjective,/ɪnˈɛvɪtəbl/,不可避免的
juxtapose,J,verb,/ˌdʒʌkstəˈpoʊz/,並列，對比
keen,K,adjective,/kiːn/,敏銳的，渴望的
lucrative,L,adjective,/ˈluːkrətɪv/,有利可圖的
meticulous,M,adjective,/məˈtɪkjələs/,一絲不苟的
notorious,N,adjective,/noʊˈtɔːriəs/,聲名狼藉的
obstacle,O,noun,/ˈɑːbstəkəl/,障礙
pragmatic,P,adjective,/præɡˈmætɪk/,務實的
quintessential,Q,adjective,/ˌkwɪntɪˈsɛnʃəl/,典型的
resilient,R,adjective,/rɪˈzɪliənt/,有彈性的，適應力強的
sustainable,S,adjective,/səˈsteɪnəbəl/,可持續的
tangible,T,adjective,/ˈtændʒəbəl/,可觸摸的，明確的
ubiquitous,U,adjective,/juːˈbɪkwɪtəs/,無所不在的
versatile,V,adjective,/ˈvɜrsəˌtaɪl/,多才多藝的
withstand,W,verb,/wɪðˈstænd/,抵擋，承受
xenophobic,X,adjective,/ˌzɛnəˈfoʊbɪk/,仇外的
yield,Y,verb,/jiːld/,產生，屈服
zealous,Z,adjective,/ˈzɛləs/,熱情的，狂熱的
