word,audio_src,define,pronounce,sentence,speech,capital
"Abundance",URL,"豐富;大量","/əˈbʌndəns/","The garden had an abundance of flowers.",n,"A"
"Brilliant",URL,"聰明的;閃耀的","/ˈbrɪljənt/","She came up with a brilliant idea.",adj,"B"
"Contribute",URL,"貢獻;捐助","/kənˈtrɪbjuːt/","He contributed to the charity fund.",v,"C"
"Dedicate",URL,"致力於;奉獻","/ˈdɛdɪˌkeɪt/","She dedicated her life to science.",v,"D"
"Enthusiasm",URL,"熱情;熱忱","/ɪnˈθjuːziæzəm/","His enthusiasm for music is contagious.",n,"E"
"Flourish",URL,"繁榮;興旺","/ˈflʌrɪʃ/","The business flourished under new management.",v,"F"
"Gratitude",URL,"感激;感謝","/ˈɡrætɪˌtjuːd/","She expressed her gratitude to the teacher.",n,"G"
"Harmony",URL,"和諧;協調","/ˈhɑːrməni/","The team worked in perfect harmony.",n,"H"
"Innovate",URL,"創新;改革","/ˈɪnəˌveɪt/","The company constantly innovates its products.",v,"I"
"Justice",URL,"公正;正義","/ˈdʒʌstɪs/","They fought for social justice.",n,"J"
"Knowledge",URL,"知識;學問","/ˈnɒlɪdʒ/","She has great knowledge in history.",n,"K"
"Liberate",URL,"解放;釋放","/ˈlɪbəˌreɪt/","The army liberated the town from occupation.",v,"L"
"Motivate",URL,"激勵;促使","/ˈmoʊtɪˌveɪt/","His speech motivated the audience.",v,"M"
"Navigate",URL,"導航;引導","/ˈnævɪˌɡeɪt/","He learned to navigate using the stars.",v,"N"
"Optimism",URL,"樂觀;積極","/ˈɒptɪmɪzəm/","Her optimism helped her through difficulties.",n,"O"
"Persevere",URL,"堅持不懈;不屈不撓","/ˌpɜːrsɪˈvɪr/","He persevered despite many obstacles.",v,"P"
"Resilient",URL,"有彈性的;適應力強的","/rɪˈzɪliənt/","She is resilient in facing challenges.",adj,"R"
"Strategic",URL,"戰略的;策略性的","/strəˈtiːdʒɪk/","The company made a strategic decision.",adj,"S"
"Transform",URL,"改變;轉變","/trænsˈfɔːrm/","Education can transform lives.",v,"T"
"Unity",URL,"團結;一致","/ˈjuːnəti/","The community worked together in unity.",n,"U"
